Publisher,SourceRepository,YearPublished
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Royal Institute of Technology,DORIS,2018
"Uganda Ministry of Health, AIDS Control Program",DORIS,2019
Stockholm University,DORIS,2018
Lund University,DORIS (only metadata),2018
Stockholm University,DORIS,2020
University of Gothenburg,DORIS,2018
Karolinska Institutet,DORIS,2018
Stockholm University,DORIS,2018
University of Gothenburg,DORIS,2018
Uppsala University,DORIS,2018
Uppsala University,DORIS,2018
Swedish University of Agricultural Sciences,DORIS,2018
Uppsala University,DORIS,2018
Uppsala University,DORIS,2018
Uppsala University,DORIS,2018
Uppsala University,DORIS,2018
Handelshögskolan i Stockholm,DORIS,2018
Handelshögskolan i Stockholm,DORIS,2020
Handelshögskolan i Stockholm,DORIS,2020
Uppsala University,DORIS,2018
Institute for Language and Folklore,DORIS (only metadata),2020
Institute for Language and Folklore,DORIS (only metadata),2020
Institute for Language and Folklore,DORIS (only metadata),2020
Institute for Language and Folklore,DORIS (only metadata),2020
Institute for Language and Folklore,DORIS (only metadata),2020
Institute for Language and Folklore,DORIS (only metadata),2020
Institute for Language and Folklore,DORIS (only metadata),2020
Institute for Language and Folklore,DORIS (only metadata),2020
Institute for Language and Folklore,DORIS (only metadata),2020
Institute for Language and Folklore,DORIS (only metadata),2020
Institute for Language and Folklore,DORIS (only metadata),2020
Umeå University,DORIS (only metadata),2017
Umeå University,DORIS (only metadata),2017
Swedish Institute of Space Physics,DORIS,2019
SMHI - Swedish Meteorological and Hydrological Institute,DORIS,2019
Chalmers University of Technology,DORIS,2019
SMHI - Swedish Meteorological and Hydrological Institute,DORIS,2019
Lund University,DORIS,2019
Stockholm University,DORIS,2019
Umeå University,DORIS (only metadata),2019
Lund University,DORIS,2019
Uppsala University,DORIS,2019
Uppsala University,DORIS,2019
University of Gothenburg,DORIS,2018
Tokyo Metropolitan University,DORIS,2017
Linnaeus University,DORIS,2021
Linnaeus University,DORIS,2017
Linnaeus University,DORIS,2019
Linnaeus University,DORIS,2017
Uppsala University,DORIS,2019
Uppsala University,DORIS,2018
University of Gothenburg,DORIS,2019
University of Gothenburg,DORIS,2019
SMHI - Swedish Meteorological and Hydrological Institute,DORIS,2019
SMHI - Swedish Meteorological and Hydrological Institute,DORIS,2019
Uppsala University,DORIS,2019
Lund University,DORIS,2019
Stockholm University,DORIS,2019
SMHI - Swedish Meteorological and Hydrological Institute,DORIS,2019
University of Gothenburg,DORIS,2019
University of Gothenburg,DORIS,2019
University of Gothenburg,DORIS,2019
Uppsala University,DORIS,2019
University of Gothenburg,DORIS,2019
Umeå University,DORIS,2018
Stockholm University,DORIS,2018
University of Gothenburg,DORIS,2022
Karolinska Institutet,DORIS,2019
Swedish University of Agricultural Sciences,DORIS,2018
University of Gothenburg,DORIS,2019
University of Gothenburg,DORIS,2019
Uppsala University,DORIS,2018
SMHI - Swedish Meteorological and Hydrological Institute,DORIS,2019
Uppsala University,DORIS,2012
Uppsala University,DORIS,2012
Uppsala University,DORIS,2012
Arkeologikonsult,DORIS,2012
Uppsala University,DORIS,2012
Uppsala University,DORIS,2012
Arkeologikonsult,DORIS,2012
Arkeologikonsult,DORIS,2012
Uppsala University,DORIS,2012
Uppsala University,DORIS,2012
Umeå University,DORIS,2010
Arbetslivsinstitutet,DORIS,2007
University of Gothenburg,DORIS,2002
University of Gothenburg,DORIS,2002
Stockholm University,DORIS,2008
Stockholm University,DORIS,2003
University of Gothenburg,DORIS,2002
Linnaeus University,DORIS,2009
Arbetslivsinstitutet,DORIS,2007
Lund University,DORIS,2016
University of Gothenburg,DORIS,2017
University of Gothenburg,DORIS,2017
University of Gothenburg,DORIS,2017
University of Gothenburg,DORIS,2017
University of Gothenburg,DORIS,2017
University of Gothenburg,DORIS,2017
Lund University,DORIS,2016
University of Gothenburg,DORIS,2017
University of Gothenburg,DORIS,2017
University of Gothenburg,DORIS,2017
University of Gothenburg,DORIS,2017
Lund University,DORIS,2019
University of Gothenburg,DORIS,2018
Uppsala University,DORIS,2012
Uppsala University,DORIS,2012
Uppsala University,DORIS,2012
Uppsala University,DORIS,2012
Uppsala University,DORIS,2012
Uppsala University,DORIS,2012
Uppsala University,DORIS,2012
Uppsala University,DORIS,2012
Uppsala University,DORIS,2012
Uppsala University,DORIS,2012
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Linköping University,DORIS,2017
Uppsala University,DORIS,2018
Royal Institute of Technology,DORIS,2017
Uppsala University,DORIS,2024
Linköping University,DORIS,2016
Uppsala University,DORIS (only metadata),2022
Linköping University,DORIS,2018
Luleå University of Technology,DORIS (only metadata),2024
Uppsala University,DORIS,2017
Linköping University,DORIS,2022
Swedish University of Agricultural Sciences,DORIS,2024
Linköping University,DORIS,2022
Luleå University of Technology,DORIS,2018
Uppsala University,DORIS,2014
Linköping University,DORIS,2018
Linköping University,DORIS,2018
Royal Institute of Technology,DORIS,2019
Royal Institute of Technology,DORIS,2019
Umeå University,DORIS,2025
Swedish University of Agricultural Sciences,DORIS,2024
University West,DORIS,2022
Swedish University of Agricultural Sciences,DORIS (only metadata),2024
Uppsala University,DORIS,2020
Institute for Language and Folklore,DORIS (only metadata),2020
Malmö University,DORIS,2020
Swedish University of Agricultural Sciences,DORIS,2024
University of Gothenburg,DORIS,2024
Malmö University,DORIS,2020
Karolinska Institutet,DORIS,2024
Uppsala University,DORIS,2021
University of Gothenburg,DORIS,2024
Uppsala University,DORIS,2021
Uppsala University,DORIS,2020
Uppsala University,DORIS,2022
Uppsala University,DORIS,2021
Uppsala University,DORIS (only metadata),2024
Luleå University of Technology,DORIS,2023
Uppsala University,DORIS,2021
Uppsala University,DORIS,2025
University of Gävle,DORIS,2025
University of Gothenburg,DORIS,1992
Religionssociologiska institutet,DORIS,1987
Religionssociologiska institutet,DORIS,1987
Religionssociologiska institutet,DORIS,1987
Religionssociologiska institutet,DORIS,1987
University of Gothenburg,DORIS,1991
University of Gothenburg,DORIS,1991
University of Gothenburg,DORIS,1991
University of Gothenburg,DORIS,1991
University of Gothenburg,DORIS,1991
University of Gothenburg,DORIS,1991
University of Gothenburg,DORIS,1991
University of Gothenburg,DORIS,1991
Uppsala University,DORIS,2021
Uppsala University,DORIS,2022
Uppsala University,DORIS,2020
Royal Institute of Technology,DORIS,2019
Jönköping University,DORIS,2018
Linköping University,DORIS,2018
Umeå University,DORIS,2019
Linköping University,DORIS,2020
Luleå University of Technology,DORIS,2022
Linköping University,DORIS,2021
Uppsala University,DORIS,1983
Uppsala University,DORIS,2023
Uppsala University,DORIS,1984
Stockholm University of the Arts,DORIS,2023
Royal Institute of Technology,DORIS,2019
Uppsala University,DORIS,2021
Uppsala University,DORIS,2024
Uppsala University,DORIS,1984
Uppsala University,DORIS,2024
Uppsala University,DORIS,1984
Uppsala University,DORIS,2024
Uppsala University,DORIS,2022
Uppsala University,DORIS,2020
Uppsala University,DORIS,2020
Uppsala University,DORIS,2020
Jönköping University,DORIS,2016
Linköping University,DORIS,2016
Uppsala University,DORIS,1983
Linköping University,DORIS,2018
Linköping University,DORIS,2016
Linköping University,DORIS,2023
Nordic Institute for Studies in Urban and Regional Planning,DORIS,2025
Lund University,DORIS,2016
Uppsala University,DORIS,2012
University of Gothenburg,DORIS,2017
University of Gothenburg,DORIS,2017
University of Gothenburg,DORIS,2018
University of Gothenburg,DORIS,2017
Uppsala University,DORIS,2012
Swedish Institute in Rome,DORIS,2012
Uppsala University,DORIS,2012
Uppsala University,DORIS,2012
Uppsala University,DORIS,2012
Uppsala University,DORIS,2012
Uppsala University,DORIS,2012
Uppsala University,DORIS,2012
Uppsala University,DORIS,2012
Chalmers University of Technology,DORIS,2021
Uppsala University,DORIS,2017
University of Gothenburg,DORIS (only metadata),2017
SMHI - Swedish Meteorological and Hydrological Institute,DORIS,2021
Arbetslivsinstitutet,DORIS,2006
Stockholm Historical Database,DORIS,1997
Stockholm Historical Database,DORIS,2013
University of Gothenburg,DORIS,2009
Statistics Sweden,DORIS (only metadata),2011
Mid Sweden University,DORIS,2025
Uppsala University,DORIS,2020
Uppsala University,DORIS,2020
Uppsala University,DORIS,2022
Royal Institute of Technology,DORIS,2021
Uppsala University,DORIS,2021
Uppsala University,DORIS,2016
Uppsala University,DORIS,2017
University of Gothenburg,DORIS,2024
Uppsala University,DORIS,2017
Lund University,DORIS,2024
Uppsala University,DORIS,2017
Swedish University of Agricultural Sciences,DORIS,2024
Uppsala University,DORIS,2017
Royal Institute of Technology,DORIS,2021
Uppsala University,DORIS,2018
Uppsala University,DORIS,2012
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2013
Uppsala University,DORIS,2013
Uppsala University,DORIS,2012
Uppsala University,DORIS,2012
Uppsala University,DORIS,2012
Uppsala University,DORIS,2012
Uppsala University,DORIS,2012
Uppsala University,DORIS,2012
Uppsala University,DORIS,2012
Uppsala University,DORIS,2013
Uppsala University,DORIS,2012
Uppsala University,DORIS,2012
Uppsala University,DORIS,2012
Uppsala University,DORIS,2012
Uppsala University,DORIS,2012
University of Gothenburg,DORIS,1998
University of Gothenburg,DORIS,1998
University of Tampere,DORIS,1997
University of Gothenburg,DORIS,1996
University of Gothenburg,DORIS,1996
Lund University,DORIS,2022
Linnaeus University,DORIS,2022
Kristianstad University,DORIS,2021
Uppsala University,DORIS (only metadata),2022
University of Gothenburg,DORIS,2020
Lund University,DORIS,2022
Uppsala University,DORIS,2012
Uppsala University,DORIS,2012
Uppsala University,DORIS,2012
Uppsala University,DORIS,2012
Lund University,DORIS,2006
University of Gothenburg,DORIS,2001
Stockholm University,DORIS,1982
Uppsala University,DORIS,2022
Uppsala University,DORIS,2022
Swedish University of Agricultural Sciences,DORIS,2025
Uppsala University,DORIS,2022
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
"Information not available, contact SND for more information",DORIS,2013
"Information not available, contact SND for more information",DORIS,2013
"Information not available, contact SND for more information",DORIS,2013
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2018
Uppsala University,DORIS,2012
Uppsala University,DORIS,2013
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2012
Societas Archaeologica Upsaliensis,DORIS,2012
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2012
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
University of Gothenburg,DORIS,1994
University of Gothenburg,DORIS,1995
University of Gothenburg,DORIS,1995
Stockholm University,DORIS,1995
Stockholm University,DORIS,1995
Umeå University,DORIS,1993
University of Gothenburg,DORIS,1992
Swedish University of Agricultural Sciences,DORIS,2023
University of Gothenburg,DORIS (only metadata),2024
Linnaeus University,DORIS,2021
University of Gothenburg,DORIS,2024
Uppsala University,DORIS,2018
Chalmers University of Technology,DORIS,2024
University of Gothenburg,DORIS,2024
University of Gothenburg,DORIS,2024
Mid Sweden University,DORIS,2017
University of Gothenburg,DORIS,2024
Stockholm University,DORIS,2023
Swedish University of Agricultural Sciences,DORIS,2023
Umeå University,DORIS,2024
Chalmers University of Technology,DORIS,2024
University of Gothenburg,DORIS,2025
Luleå University of Technology,DORIS,2023
Lund University,DORIS,2023
Swedish University of Agricultural Sciences,DORIS,2024
Karolinska Institutet,DORIS,2023
Swedish University of Agricultural Sciences,DORIS (only metadata),2023
University of Gävle,DORIS,2023
Swedish Geotechnical Institute,DORIS,2024
Stockholm University,DORIS,2023
Stockholm University,DORIS,2024
Stockholm University,DORIS,2024
Swedish University of Agricultural Sciences,DORIS,2024
Uppsala University,DORIS,2024
Swedish University of Agricultural Sciences,DORIS,2022
Umeå University,DORIS,2024
Uppsala University,DORIS,2025
Swedish University of Agricultural Sciences,DORIS,2025
Luleå University of Technology,DORIS,2025
Swedish University of Agricultural Sciences,DORIS,2025
Linköping University,DORIS,2023
Linköping University,DORIS,2020
Swedish University of Agricultural Sciences,DORIS,2024
Royal Institute of Technology,DORIS,2019
Karolinska Institutet,DORIS,2020
Swedish University of Agricultural Sciences,DORIS,2019
Stockholm University,DORIS,2021
Stockholm University,DORIS (only metadata),2020
University of Borås,DORIS,2019
Umeå University,DORIS (only metadata),2013
University of Gothenburg,DORIS,2019
Stockholm University,DORIS,2019
University of Gothenburg,DORIS,2019
Swedish University of Agricultural Sciences,DORIS,2019
Swedish University of Agricultural Sciences,DORIS,2019
Uppsala University,DORIS (only metadata),2015
University of Gothenburg,DORIS,2014
Uppsala University,DORIS (only metadata),2015
Uppsala University,DORIS (only metadata),2015
Uppsala University,DORIS (only metadata),2015
Uppsala University,DORIS (only metadata),2015
Uppsala University,DORIS,2014
Uppsala University,DORIS,2014
Karolinska Institutet,DORIS,2013
Uppsala University,DORIS,2014
Uppsala University,DORIS,2021
Uppsala University,DORIS,2022
Swedish University of Agricultural Sciences,DORIS,2024
University of Gothenburg,DORIS,2024
University of Gothenburg,DORIS,2024
University of Gothenburg,DORIS,2024
Uppsala University,DORIS (only metadata),2024
Uppsala University,DORIS,2021
Örebro University,DORIS,2018
Uppsala University,DORIS,2021
Uppsala University,DORIS,2021
Lund University,DORIS,2024
Linköping University,DORIS,2024
Uppsala University,DORIS,2021
Uppsala University,DORIS,2020
Örebro University,DORIS (only metadata),2024
Uppsala University,DORIS,2021
Uppsala University,DORIS,2024
Statistics Sweden,DORIS (only metadata),2011
Uppsala University,DORIS,2020
Uppsala University,DORIS,2020
Uppsala University,DORIS,2022
University of Gothenburg,DORIS,2024
University of Gothenburg,DORIS (only metadata),2013
Jönköping University,DORIS,2020
University of Gothenburg,DORIS,2024
Uppsala University,DORIS,2022
Lund University,DORIS,2021
Kristianstad University,DORIS,2020
University of Skövde,DORIS (only metadata),2021
Lund University,DORIS,2020
Umeå University,DORIS (only metadata),2021
SMHI - Swedish Meteorological and Hydrological Institute,DORIS,2022
Umeå University,DORIS (only metadata),2021
Umeå University,DORIS (only metadata),2021
Umeå University,DORIS (only metadata),2021
Umeå University,DORIS (only metadata),2021
Huddinge municipality,DORIS,2020
Swedish University of Agricultural Sciences,DORIS,2021
Swedish University of Agricultural Sciences,DORIS,2021
Linnaeus University,DORIS,2022
Stockholm University,DORIS,2021
Umeå University,DORIS (only metadata),2021
Umeå University,DORIS (only metadata),2021
Umeå University,DORIS (only metadata),2021
Swedish University of Agricultural Sciences,DORIS,2021
SMHI - Swedish Meteorological and Hydrological Institute,DORIS (only metadata),2021
Royal Institute of Technology,DORIS,2021
Uppsala University,DORIS,2020
Uppsala University,DORIS,2017
Uppsala University,DORIS,2020
Uppsala University,DORIS,2020
Uppsala University,DORIS,2016
Uppsala University,DORIS,2021
Royal Institute of Technology,DORIS,2019
Uppsala University,DORIS,2017
Royal Institute of Technology,DORIS,2019
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2012
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2012
Uppsala University,DORIS,2014
Uppsala University,DORIS,2014
Uppsala University,DORIS,2014
Norrbotten County Council,DORIS (only metadata),2017
Swedish University of Agricultural Sciences,DORIS,2022
University of Gothenburg,DORIS,2024
Swedish University of Agricultural Sciences,DORIS (only metadata),2022
University of Gothenburg,DORIS (only metadata),2017
Stockholm University,DORIS (only metadata),2016
Uppsala University,DORIS,2022
Stockholm University,DORIS (only metadata),2015
University of Gothenburg,DORIS,2022
University of Gothenburg,DORIS (only metadata),2014
University of Gothenburg,DORIS (only metadata),2023
University of Gothenburg,DORIS (only metadata),2023
University of Gothenburg,DORIS (only metadata),2012
Swedish University of Agricultural Sciences,DORIS (only metadata),2022
University of Gothenburg,DORIS (only metadata),2012
Swedish University of Agricultural Sciences,DORIS (only metadata),2022
Uppsala University,DORIS (only metadata),2012
University of Gothenburg,DORIS (only metadata),2012
Swedish Institute of Space Physics,DORIS,2023
Riksteatern,DORIS (only metadata),2012
Umeå University,DORIS (only metadata),2011
Karolinska Institutet,DORIS,2023
University of Gothenburg,DORIS,2002
Karolinska Institutet,DORIS,2022
University of Gothenburg,DORIS,2002
University of Gothenburg,DORIS,2002
​SAMBAH – Static Acoustic Monitoring of the Baltic Sea Harbour Porpoise,DORIS,2017
Lund University,DORIS,2017
Chalmers University of Technology,DORIS,2017
Karolinska Institutet,DORIS,2019
